旅,たび,"
不思議,ふしぎ,"
tail (of an animal)
tail (of a kite, etc.); tail end
tail (of a comet)
slope at the foot of a mountain
O
Tail"
異国,いこく,"
honour; honor; glory; privilege"
尾,お,"
often; again and again; over and over again; repeatedly; frequently
度度 【たびたび】"
光栄,こうえい,"
five; 5"
度々,たびたび,"
welcome; reception"
五,ご,"
guard; convoy; escort"
歓迎,かんげい,"
long way; great distance"
護衛,ごえい,"
from afar; over a great distance; all the way"
遠路,えんろ,"
to cross over (e.g. mountain); to go across
to get over (e.g. hardship)
to pass time (e.g. a winter)
to surpass; to be better than; to exceed
to move house
to go; to come
超す 【こす】"
遥々,はるばる,"
due form; official; formality"
越す,こ,"
father-in-law
foster father
stepfather"
分かち合う,わあ,"
very; greatly; much; to a large extent; quite
just about to; almost; very nearly"
正式,せいしき,"
deep affection
dear; beloved"
義父,ぎふ,"
five; 5"
気をそらす,き,"
journey; route of a journey"
余程,よほど,"
to reach; to amount to; to befall; to happen to; to extend; to go on (for, until)
to be up to the task; to come up to
to compare with; to be a match (for)
to commit (a crime)
to require (to do)"
親愛,しんあい,"
calmness; composure; coolness; serenity; presence of mind"
五,ご,"
playing at (something); game of make-believe; something done together"
旅路,たびじ,"
kind; gentle; considerate; generous; friendly; nice
深切 【しんせつ】"
及ぶ,およ,"
household items; furniture; furnishings; fixtures; supplies
bow and arrow"
冷静,れいせい,"
courtyard; quadrangle; middle court
Courtyard"
ハンニバル,,"
spring; fountain"
ごっこ,,"
to refuse; to reject; to dismiss; to turn down; to decline
to inform; to give notice; to tell in advance
to ask leave; to excuse oneself (from)
断わる 【ことわる】"
変わっている,か,"
board; plank
sheet (of metal); plate (of glass); pane; slab
cutting board; chopping board
chef (esp. of high-end Japanese cuisine); cook
stage (i.e. at a theatre)
Board"
親切,しんせつ,"
saint
聖者 【しょうじゃ】"
調度,ちょうど,"
the person in question; the person themselves; said person"
中庭,なかにわ,"
presence of other people; (in) public; (in) front of others
人まえ 【ひとまえ】"
泉,いずみ,"
lonely; lonesome; solitary; desolate"
断る,ことわ,"
feeling refreshed; feeling relieved
neat; tidy; clean
frank; open-hearted; plain; simple; light
completely; entirely
not in the least (with neg. verb); not at all
nothing at all; completely useless; hopeless; awful"
板,いた,"
reputation; (public) estimation; popularity
rumour; rumor; talk (e.g. of the town)
fame; notoriety"
聖者,せいじゃ,"
to surround; to encircle; to enclose; to fence; to wall in
to besiege; to lay siege to
to play (go, shogi, etc.)
囲む 【かごむ】"
本人,ほんにん,"
hard (life); tough (world)"
人前,ひとまえ,"
(social) standing; status; position; rank
identity; birth; origin
one's circumstances; one's means"
寂しい,さび,"
clothes; garment
gown; robe
coating (e.g. glaze, batter, icing)"
さっぱり,,"
ill-bred; impolite; rude; impudent; insolent; blunt"
評判,ひょうばん,"
to touch; to feel
to touch (with)
to experience; to come in contact with; to perceive
to touch on (a subject); to allude to; to refer to; to mention; to bring up
to be in conflict with; to violate (law, copyright, etc.); to infringe
to proclaim; to make known; to spread (e.g. a rumour)"
囲む,かこ,"
one's age"
世知辛い,せちがら,"
police officer; policeman; constable"
身分,みぶん,"
to make merry; to frolic; to be in high spirits"
衣,ころも,"
favour; favor; patronage; favouritism; favoritism; partiality
favourite; favorite
patron; supporter; backer
Bixi (tortoise)
贔負 【ひいき】"
不躾,ぶしつけ,"
violent; furious; tempestuous
extreme; intense; fierce; strong
fervent; vehement
incessant; relentless
precipitous; steep"
触れる,ふ,"
curiosity; inquisitiveness
Curiosity"
年甲斐,としがい,"
swing; trapeze
Swing (seat)
ブランコ"
巡査,じゅんさ,"
divine protection"
燥ぐ,はしゃ,"
ascetic monk; trainee monk"
贔屓,ひいき,"
emperor
Emperor
皇帝 【おうだい】"
激しい,はげ,"
expression; looks"
好奇心,こうきしん,"
season; time of year
Season"
鞦韆,ぶらんこ,"
brass
真ちゅう 【しんちゅう】"
加護,かご,"
how ...!; what ...!
what?; what's that?"
修行僧,しゅぎょうそう,"
sleeping outdoors; sleeping out in the open air; camping"
皇帝,こうてい,"
steel"
血相,けっそう,"
caravan (of merchants)"
季節,きせつ,"
traveling expenses; travelling expenses"
真鍮,しんちゅう,"
to reach; to touch; to get to; to carry (of sound)
to be delivered; to arrive
to be attentive; to be scrupulous; to be thorough
to be realized (of a desire); to be fulfilled; to get through (to someone); to be appreciated; to make an impression"
何て,なん,"
charcoal
charred remains"
野宿,のじゅく,"
to rot; to go bad; to decay; to spoil; to fester; to decompose; to turn sour (e.g. milk)
to corrode; to weather; to crumble
to become useless; to blunt; to weaken (from lack of practice)
to become depraved; to be degenerate; to be morally bankrupt; to be corrupt
to be depressed; to be dispirited; to feel discouraged; to feel down
to have the audacity to; to be bastard enough to
to lose a bet
to be drenched; to become sopping wet"
鋼鉄,こうてつ,"
being present (at the same meeting, occasion, etc.); attendance (with); sitting with; sitting next to
same (seating) precedence; same rank"
隊商,たいしょう,"
favour; favor; obligation; debt of gratitude"
路銀,ろぎん,"
coast; shore; littoral"
届く,とど,"
supplement; top up; complement; making up (a deficiency)"
炭,すみ,"
to look after; to take care of; to keep; to hold on to; to keep in custody
to be put in charge of; to be given responsibility for; to be entrusted with
to withhold (an announcement); to reserve (judgment); to leave undecided
to take upon oneself (to do); to settle (a matter) oneself"
腐る,くさ,"
cum (e.g. bedroom-cum-study); and (concurrently; e.g. chauffeur and secretary); in addition to; at the same time"
同席,どうせき,"
stubborn; obstinate; pigheaded"
何だかんだ,なん,"
assignment (of a person to somewhere); attachment (of a person to another unit, organization, etc.)"
恩,おん,"
force; unit; corps; squad; troops; party
Troop"
沿岸,えんがん,"
plot of land; lot; soil
locality; region; place"
足し,た,"
cloth
bujian (spade-shaped bronze coin of ancient China)"
預かる,あず,"
affinity; compatibility; chemistry (between people)"
兼,けん,"
to pile up; to stack
to load (car, ship, etc.); to pack
to acquire; to accumulate"
頑固,がんこ,"
silk thread"
配属,はいぞく,"
addition; supplement; appending; appendix"
